A Aaaaa; Bla; bla; bla; bla; bla, bla; (88)981318778; (88)98834993
Horácio León Josias Mileide; Avenida Godim  Corrêa; 1256; Célia Pino; ; Montes Altos, MA; (14)935009278; (22)935890
Horácio León Loureiro Batata; Rua Tévez Acacio; 30288; Apt 398; Virgília; Canhoba, SE; (82)997499878; (20)911583
Horácio León Lídia Monjardim Jorgina; Rua Lucrécia Mônica Dinis; 19021; Apt 210; Bernardino Rivero; São Jão da Canaabrava, PI; (30)940845453; (60)900464
Horácio León Lívia Damião; Rua Amanda Becerra; 2210; Apt 636; Ubiratã Vila-Chã; São Jsé do Horttêncio, RS; (71)917149429; (94)917626
Horácio León Lívia Meneses; Rua Fabíola  Arruda; 13799; Apt 495; Cavadas; Gurinhatã, MG; (46)973283033; (69)961638
Horácio León Malheiro Godinho; Avenida Rosmainnho Quintanilla; 18729; Tércio; ; Amparo, SP; (42)902203988; (78)936414
Horácio León Malheiro Paredes; Rua Joaquina Lénia; 22943; Apt 198; Lénia; Pato Bragado, PR; (63)978504679; (67)973362
Horácio León Mariana Fitas; Avenida Rosmaninho Mariano; 32393; Ubiratã Vila-Chã; ; Anápolis, GO; (32)954125093; (86)964270
Horácio León Mariano  Adélio; Avenida Rui Abel; 19740; Ágata; ; Anapu, PA; (37)920291460; (86)964270
Horácio León Mariano  Mônica Dinis; Avenida Camelo  Lídia Monjardim; 3616; Abílio; ; Quinz de Novembbro, RS; (36)910649932; (46)995910
Horácio León Melinda Cleusa; Avenida Aguiar Aguiar; 20419; Maranhão; ; Ituberá, BA; (20)960333870; (96)941461
Horácio León Meneses Xavier; Rua Malheiro Mônica Dinis; 22450; Pessanha; ; Olho-'Água do BBorges, RN; (22)992387775; (86)964270
Horácio León Miera Jiménez; Rua Lameira Telma Azeredo; 30590; Josias; ; Bagé, RS; (61)992307762; (98)945688
Horácio León Mileide Canadas; Rua Malheiro Délio; 31407; Juruna; ; Ibiraiaras, RS; (95)943901506; (39)964496
Horácio León Máxima Foquiço Bessa; Rua Raminhos errnardino Rivero; 5859; Apt 904; Collares; Francisco Dantas, RN; (47)984628098; (69)961638
Horácio León Mónica  Lucrécia; Rua Malheiro Rosmaninho; 16010; Furquim; ; Luciára, MT; (89)982929358; (46)995910
Horácio León Olga Carqueijeiro Ágata; Avenida Telma Parcidio Brião; 16957; Apt 658; Miera; Amapá, AP; (82)936381339; (58)979216
Horácio León Parcidio Brião Corrêa; Rua Florêncio Maranhão; 9833; Silvano Bocaiúva; ; Bom Pincípio doo Piauí, PI; (96)940112346; (67)973362
Horácio León Parcidio Brião Damião; Rua Serralheiro Cleusa; 3154; Almerinda; ; Japira, PR; (25)941660532; (81)969250
Horácio León Paredes Mariano; Rua Fontoura Fortunato; 11786; Batata; ; Cachoira Douradda, MG; (77)977777827; (42)977727
Horácio León Pegado Bartira; Avenida Tércio Almerinda; 2525; Apt 563; Mota; Guaratinga, BA; (43)933503959; (50)951391
Horácio León Quirino Valentim Porto; Avenida Tristão Cavadas; 30061; Mota; ; Vale Verde, RS; (35)910051744; (84)952328
Horácio León Ramiro Mieiro; Rua Dirceu Horácio León; 21300; Apt 505; Rui; Marecal Cândidoo Rondon, PR; (72)935740998; (46)995910
Horácio León Ronaldo  Tristão; Avenida Parciioo Brião Viriato; 32569; Telma Azeredo; ; Apareida do Tabboado, MS; (31)956806974; (84)903894
Horácio León Ronaldo  Ágata; Avenida Loureroo Lídia Monjardim; 19344; Custódio; ; Tufilândia, MA; (93)983301042; (41)925115
Horácio León Rosmaninho Bernardino Rivero; Avenida Carlo SSequeira Virgínia Cardin; 14059; Ronaldo; ; Canudos, BA; (97)907007726; (20)911583
Horácio León Rui Abel; Avenida Abreu Joaquina; 1834; Becerra; ; São Joaquim, SC; (41)972207457; (67)973362
Horácio León Sidónio Alda; Avenida Mariano  Ronaldo; 28383; Mariano; ; Soledade, RS; (82)941224862; (81)969250
Horácio León Silvano Bocaiúva Benedita; Avenida Lívia Serralheiro; 29015; Lénia; ; Pirambu, SE; (46)920995236; (60)900464
Horácio León Silvano Bocaiúva Campos; Rua Lameira Fontoura; 19634; Calisto; ; Itaberá, SP; (49)945157191; (60)900464
Horácio León Telma Azeredo Canadas; Rua Délio Alda; 22279; Rodríguez; ; Raposos, MG; (38)954440582; (84)952328
Horácio León Tristão  Mota; Rua Malheiro errnardino Rivero; 12421; Pegado; ; Alto Alegre, SP; (14)906874966; (94)917626
Horácio León Tristão Ubiratã Vila-Chã; Rua Collares Mónica; 2071; Bernardino Rivero; ; Minisro Andreazzza, RO; (67)920727759; (46)995910
Horácio León Ubiratã Vila-Chã Canadas; Avenida Becerra Ágata; 32251; Vera Pedroso; ; Funilândia, MG; (18)952835465; (60)900464
Horácio León Ubiratã Vila-Chã Pessanha; Avenida  Arruda Josias; 32165; Apt 828; Elba; Frei Inocêncio, MG; (56)940307205; (41)925115
Horácio León Vanda  Abreu; Avenida Campos Pegado; 18596; Telma Azeredo; ; Ribeirópolis, SE; (11)998457425; (98)945688
Horácio León Vanda  Jorgina; Avenida Mileide Alda; 8986; Becerra; ; Goverador Edisoon Lobão, MA; (24)921268533; (63)953539
Horácio León Vanda  Quirino Valentim; Rua Emílio Malheiros Godinho; 13927; Apt 346; Mileide; Aragoiânia, GO; (39)950776381; (84)952328
Horácio León Varella Aguiar; Avenida Tércio Amanda; 29558; Apt 593; Campos; Santaa do Manhuuaçu, MG; (83)972967002; (12)992546
Horácio León Varella Damião; Rua Bernardino Rivero Rui; 2932; Apt 226; Fitas; Floresta, PR; (94)969190181; (94)917626
Horácio León Varella Telma Azeredo; Avenida Cavadas Bezerra; 14502; Maranhão; ; São Pdro do Suaaçuí, MG; (43)985529530; (69)961638
Horácio León Vera Pedroso Godinho; Avenida Campos Telma Azeredo; 8664; Miera; ; Macaúbas, BA; (45)907160449; (42)977727
Horácio León Vera Pedroso Porto; Avenida Rui Vellozo; 1551; Mariano; ; Conceção de Maccabu, RJ; (16)946712552; (67)973362
Horácio León Ágata  Juruna; Rua Délio Vera Pedroso; 14229; Adélio; ; Olímpio Noronha, MG; (50)933474484; (81)969250
Horácio León Ágata Olga Carqueijeiro; Avenida Tércio Cavadas; 25869; Apt 123; Godinho; Pouso Redondo, SC; (30)910939742; (96)943057
Jiménez  Arruda Emílio Malheiros; Rua Joaquina Virgínia Cardin; 19787; Apt 277; Vanda; Godoy Moreira, PR; (28)988797782; (82)969287
Jiménez  Juruna Portugal; Rua Délio Bernardino Rivero; 32290; Vanda; ; Morro da Fumaça, SC; (97)944653234; (97)990572
Jiménez  Mota Tévez; Rua Elba Corrêa; 14152; Gina; ; Jatobá, PE; (31)918518729; (39)943690
Jiménez Abel Olga Carqueijeiro; Rua Almerinda Telma Azeredo; 8927; Assunção; ; Desterro do Melo, MG; (76)920647211; (39)943690
Jiménez Abel Ágata; Avenida Abreu Célia Pino; 26950; Lívia; ; Açailândia, MA; (14)909160239; (45)979793
Jiménez Abreu Ágata; Rua Mieiro Joaquina; 25634; Amanda; ; Tibau, RN; (97)952564517; (14)941212
Jiménez Abílio Vanda; Rua Maranhão Rui; 20813; Lívia; ; Urussanga, SC; (63)915942094; (64)905033
Jiménez Acacio Campos; Rua  Mota Mônica Dinis; 10118; Apt 504; Quintanilla; Indaiabira, MG; (60)941952408; (38)930862
Jiménez Adélio Abílio; Avenida Assunãoo Lídia Monjardim; 24416; Apt 750; Mariana; Redentora, RS; (17)978069957; (41)935354
Jiménez Adélio Fontoura; Rua Portugal Fortunato; 29188; Ramiro; ; Marataízes, ES; (76)936016657; (61)939224
Jiménez Alda Cavadas; Rua Benedita Canadas; 21189; Tévez; ; Caetanos, BA; (39)941800843; (74)945305
Jiménez Alda Rui; Rua Joaquina Quintanilla; 32171; Apt 280; Aguiar; SantaLuzia D'Oeeste, RO; (41)908188638; (39)943690
Jiménez Almerinda Canedo; Rua Godinho Célia Pino; 21989; Apt 434; Ronaldo; Sarandi, PR; (72)985958148; (14)941212
Jiménez Bartira Mariana; Rua Viriato Assunção; 22053; Pegado; ; Cabaceiras, PB; (23)901711922; (38)930862
Jiménez Bessa Mónica; Rua Virgínia Cardin Camello; 24953; Aguiar; ; Costa Marques, RO; (70)906731742; (39)943690
Jiménez Bessa Vera Pedroso; Rua Furquim Ubiratã Vila-Chã; 25260; Lénia; ; Areia Branca, SE; (75)942531546; (61)939224
Jiménez Camello Parcidio Brião; Rua Quintanila  Telma Azeredo; 29493; Célia Pino; ; Frei Paulo, SE; (41)950608812; (97)990572
Jiménez Campos Olga Carqueijeiro; Rua Tévez Vera Pedroso; 13146; Apt 594; Mota; Itapoá, SC; (95)927323303; (50)999511
Jiménez Canadas Abílio; Rua Abel Serralheiro; 24580; Apt 21; Custódio; Angra dos Reis, RJ; (37)917597334; (74)945305
Jiménez Canadas Bartira; Rua Mónica  Rui; 14143; Acacio; ; Cachoira Douradda, GO; (33)912164504; (64)905033
Jiménez Canedo Carlos Sequeira; Rua Furquim Elba; 15006; Ágata; ; São Julião, PI; (84)929411469; (61)939224
Jiménez Carlos Sequeira Abel; Rua Joaquina Dirceu; 28868; Apt 650; Vanda; Breves, PA; (37)919303636; (74)945305
Jiménez Carlos Sequeira Mónica; Rua Mónica  Quintanilla; 29209; Tércio; ; Paraúna, GO; (29)984039080; (74)945305
Jiménez Collares Melinda; Avenida Godim  Acacio; 13525; Almerinda; ; Novo Horizonte, SC; (90)943659891; (14)941212
Jiménez Collares Olga Carqueijeiro; Avenida  Arruda Vera Pedroso; 22336; Apt 369; Máxima Foquiço; Alvorada, TO; (57)957305506; (38)930862
Jiménez Cora Mônica Dinis; Avenida Vera Pedroso Sidónio; 774; Susana; ; Bom Retiro, SC; (87)965153652; (14)941212
Jiménez Correia Canadas; Avenida Sidónio Amanda; 30014; Loureiro; ; Riachão, PB; (43)999372323; (49)998643
Jiménez Corrêa Abílio; Rua Lénia Calisto; 16690; Rodríguez; ; São Sbastião daa Bela Vista, MG; (43)974504399; (74)945305
Jiménez Custódio Rodríguez; Avenida Bessa Assunção; 2383; Apt 995; Cavadas; Jiquiriçá, BA; (45)920463018; (82)969287
Jiménez Dirceu Mónica; Rua Lameira  Mota; 5057; Cleusa; ; Monte Formoso, MG; (36)979744110; (21)911439
Jiménez Elba Calisto; Avenida Mariana Calisto; 570; Apt 544; Canadas; Alvorda do Nortte, GO; (31)944326781; (64)905033
Jiménez Elba Tévez; Avenida Tomás Holanda; 7718; Correia; ; Corumbá, MS; (53)924100332; (74)945305
Jiménez Fitas Maranhão; Rua Jorgina Sidónio; 23667; Tércio; ; Nicolu Vergueirro, RS; (81)954513106; (14)941212
Jiménez Fitas Vanda; Avenida Cora  Mota; 290; Parcidio Brião; ; Ouro reto do Oeeste, RO; (59)902682838; (64)905033
Jiménez Florêncio Cleusa; Rua Holanda Maranhão; 18992; Xavier; ; Cansanção, BA; (74)934622037; (37)917458
Jiménez Florêncio Gina; Avenida Olga arrqueijeiro Carlos Sequeira; 26831; Lucrécia; ; Vitor Meireles, SC; (31)909566596; (61)939224
Jiménez Furquim Tristão; Avenida Loureroo Lídia Monjardim; 27331; Florêncio; ; Rio Gande da Seerra, SP; (70)938753143; (39)943690
Jiménez Gina Varella; Rua Dirceu  Mota; 14759; Apt 326; Joaquina; Flores, PE; (98)963233554; (61)939224
Jiménez Godim   Mota; Avenida Carlo SSequeira Porto; 5717; Joaquina; ; Itaiçaba, CE; (34)970219056; (45)979793
Jiménez Jiménez Tristão; Rua Meneses Brnnardino Rivero; 13774; Apt 782; Raminhos; Itaueira, PI; (93)904127157; (64)905033
Jiménez Joaquina Rosmaninho; Rua Bernardin RRivero Silvano Bocaiúva; 28091; Apt 176; Joaquina; Catende, PE; (88)907123081; (50)999511
Jiménez Jorgina Palmiro Olivares; Rua Xavier Meneses; 12403; Calisto; ; São Bento do Una, PE; (13)965091857; (14)941212
Jiménez Lameira Mariano; Avenida Cora biiratã Vila-Chã; 27015; Tomás; ; Rodolo Fernandees, RN; (47)918771466; (41)935354
Jiménez Loureiro Lénia; Rua Bartira Hernâni; 267; Silvano Bocaiúva; ; Nova sperança ddo Sul, RS; (68)996320962; (14)941212
Jiménez Lucrécia Tomás; Avenida Tristão Fitas; 31576; Alda; ; Araporã, MG; (64)980058425; (64)905033
Jiménez Lídia Monjardim Délio; Avenida Horácio León Tévez; 12085; Susana; ; Augusto Severo, RN; (37)973197491; (39)943690
Jiménez Lívia Corrêa; Avenida Aguiar Holanda; 30750; Susana; ; Cristalândia, TO; (92)916033318; (21)911439
Jiménez Lívia Lucrécia; Avenida Camello Célia Pino; 11470; Campos; ; Gararu, SE; (11)985019726; (21)911439
Jiménez Lívia Virgínia Cardin; Avenida Bezerra Pegado; 30023; Apt 730; Sidónio; Medianeira, PR; (93)976114800; (82)969287
Jiménez Malheiro Furquim; Avenida Vellozo Lameira; 15901; Mota; ; Rolante, RS; (60)941166000; (49)998643
Jiménez Maranhão Jorgina; Rua Tévez Lopes; 10868; Apt 157; Florêncio; Ararendá, CE; (12)934536263; (41)935354
Jiménez Mariana Mieiro; Avenida Godim   Liberato; 28989; Tércio; ; Juquiá, SP; (93)909669695; (37)917458
Jiménez Melinda Horácio León; Avenida Correia Rui; 28025; Camello; ; Maravilhas, MG; (15)992350647; (45)979793
Jiménez Meneses Aguiar; Avenida Ubiraã  Vila-Chã Assunção; 27693; Abílio; ; Cocal de Telha, PI; (74)974149229; (82)969287
Jiménez Mieiro Meneses; Rua Quintanilla Canedo; 15806; Alda; ; São Leopoldo, RS; (40)957079883; (74)945305
Jiménez Miera Vera Pedroso; Rua Varella Acacio; 20492; Apt 236; Ramiro; Medina, MG; (85)934288078; (38)930862
Jiménez Mileide Cotrim; Avenida Becerra Collares; 20471; Vellozo; ; Derrubadas, RS; (26)958144969; (38)930862
Jiménez Mónica  Furquim; Avenida Fortunato Rodríguez; 15803; Apt 668; Malheiro; São Nicolau, RS; (87)963447843; (39)943690
Jiménez Mônica Dinis Vanda; Avenida Becerra Calisto; 30250; Fabíola; ; Água Comprida, MG; (33)988396662; (39)943690
Jiménez Olga Carqueijeiro Alda; Rua Tévez Hernâni; 2072; Apt 234; Vera Pedroso; Resplendor, MG; (71)934494871; (38)930862
Jiménez Olga Carqueijeiro Fabíola; Avenida Godim  Fortunato; 16463; Fitas; ; Aiquara, BA; (98)974576635; (21)911439
Jiménez Palmiro Olivares Becerra; Avenida Alda Abreu; 21437; Apt 458; Correia; São Francisco, SP; (34)941025756; (97)990572
Jiménez Parcidio Brião Jorgina; Rua Amanda Fabíola; 29895; Apt 189; Ramiro; Senador Firmino, MG; (74)911391334; (64)905033
Jiménez Paredes Mileide; Rua Lénia Furquim; 17678; Assunção; ; São Jsé da Barrra, MG; (49)922746257; (61)939224
Jiménez Porto Batata; Rua Benedita Canadas; 2923; Glauco; ; Utinga, BA; (28)944216478; (37)917458
Jiménez Porto Campos; Rua Lameira Lívia; 27143; Meneses; ; Ibitirama, ES; (66)907861520; (14)941212
Jiménez Porto Mileide; Avenida Vera Pedroso Batata; 12007; Meneses; ; Muritiba, BA; (17)997909519; (21)911439
Jiménez Portugal Silvano Bocaiúva; Avenida Mariana Tristão; 31658; Apt 487; Tristão; Bagre, PA; (29)975234698; (38)930862
Jiménez Rosmaninho Campos; Rua Meneses Acacio; 28946; Apt 506; Malheiro; Pelotas, RS; (20)994769335; (39)943690
Jiménez Rosmaninho Ronaldo; Rua Elba Gina; 13038; Abílio; ; Palmeirina, PE; (81)919061302; (38)930862
Jiménez Rui Assunção; Rua Lopes Horácio León; 28943; Batata; ; Porto Calvo, AL; (55)931303868; (74)945305
Jiménez Serralheiro Hernâni; Rua Joaquina Lameira; 26020; Apt 699; Mileide; Tenório, PB; (16)984767745; (21)911439
Jiménez Serralheiro Vanda; Rua Abel Cora; 31620; Apt 895; Tristão; Imperatriz, MA; (47)950387358; (41)935354
Jiménez Sidónio Meneses; Rua Florêncio Tristão; 8830; Josias; ; Costa Marques, RO; (32)960215837; (39)943690
Jiménez Silvano Bocaiúva Pessanha; Rua Mieiro Ronaldo; 861; Glauco; ; Monte Carmelo, MG; (79)968765289; (82)969287
Jiménez Silvano Bocaiúva Varella; Rua Quirino Valentim Mileide; 18798; Pessanha; ; Juruti, PA; (90)929015754; (45)979793
Jiménez Susana Gina; Rua Ágata Quintanilla; 3638; Apt 600; Fortunato; Mata de São João, BA; (69)987214496; (61)939224
Jiménez Tristão Mariana; Rua Amanda Dirceu; 32498; Apt 29; Godinho; Ubá, MG; (94)989966450; (97)990572
Jiménez Tévez Fortunato; Rua Bernardin RRivero Ronaldo; 12204; Apt 148; Batata; Porteiras, CE; (35)968571285; (39)943690
Jiménez Ubiratã Vila-Chã Alda; Rua Pegado Virgínia Cardin; 9118; Viriato; ; São Pdro da Cippa, MT; (71)980296347; (49)998643
Jiménez Varella Horácio León; Rua Furquim Daniela; 25894; Amanda; ; CampoAlegre de  Lourdes, BA; (56)999199206; (37)917458
Jiménez Vellozo Canadas; Rua Lucrécia Elba; 31557; Apt 105; Mariano; Pereira Barreto, SP; (89)978328243; (50)999511
Jiménez Virgília Jiménez; Avenida Porto Abel; 13497; Lameira; ; Nova Lima, MG; (52)981562552; (74)945305
Jiménez Virgília Lopes; Avenida Tércio Almerinda; 11618; Apt 338; Célia Pino; Caiana, MG; (44)908565812; (39)943690
Jiménez Virgínia Cardin Canadas; Avenida Máxim FFoquiço Campos; 28497; Assunção; ; Simplício Mendes, PI; (74)907132231; (14)941212
Jiménez Viriato Lucrécia; Avenida Ronaldo  Rodríguez; 17936; Apt 63; Tomás; Sede Nova, RS; (20)929192859; (39)943690
Jiménez Xavier Virgília; Rua Pessanha Vellozo; 709; Elba; ; Vila Flores, RS; (63)993629749; (82)969287
Joaquina  Arruda Paredes; Avenida  Liberato  Juruna; 22792; Apt 237; Canedo; Santa Fé, PR; (25)964289485; (39)943690
Joaquina  Arruda Varella; Rua Miera Virgília; 9922; Becerra; ; Turmalina, SP; (15)912467720; (19)961180
Joaquina  Mota Palmiro Olivares; Rua Abel Campos; 32168; Apt 395; Célia Pino; Sertaneja, PR; (20)910812546; (78)927207
Joaquina  Mota Tomás; Rua Benedita  Arruda; 29426; Lopes; ; Iacri, SP; (13)969335077; (19)961180
Joaquina Abreu Abílio; Rua Bernardino Rivero Godim; 12870; Apt 533; Camello; Elias Fausto, SP; (48)940822622; (18)957557
Joaquina Acacio Rosmaninho; Avenida Vanda  Fontoura; 26038; Rodríguez; ; Alto Piquiri, PR; (76)981405122; (65)959826
Joaquina Aguiar Florêncio; Avenida Cavadas Vellozo; 18648; Daniela; ; Engenho Velho, RS; (29)939329402; (23)949012
Joaquina Alda Benedita; Rua Godinho Gina; 17245; Apt 478; Fortunato; Monções, SP; (87)988041239; (97)907864
Joaquina Alda Délio; Avenida Jiménez Campos; 3723; Almerinda; ; São Flix do Toccantins, TO; (95)937540805; (70)910362
Joaquina Alda Emílio Malheiros; Avenida Mileide  Mota; 1944; Abílio; ; Aparecida, PB; (25)930957797; (97)953286
Joaquina Alda Vanda; Avenida Cleusa Assunção; 5279; Apt 694; Abílio; Várzea, PB; (37)914040767; (97)907864
Joaquina Almerinda Bezerra; Rua Délio Tomás; 6942; Damião; ; Aparecida, PB; (22)910024336; (28)908698
Joaquina Almerinda Mieiro; Rua Emílio Malheiros Batata; 25846; Apt 824; Mónica; Nova Bréscia, RS; (15)927657116; (28)908698
Joaquina Bartira Horácio León; Avenida Adélio Amanda; 30191; Délio; ; Xambioá, TO; (62)918626997; (65)959826
Joaquina Becerra Miera; Rua Abel Carlos Sequeira; 9241; Apt 449; Aguiar; Goverador Mangaabeira, BA; (66)964144589; (18)957557
Joaquina Benedita Fabíola; Rua Daniela Ágata; 9897; Vanda; ; Cajuru, SP; (25)925602342; (19)961180
Joaquina Bernardino Rivero Vera Pedroso; Rua Mieiro Fitas; 24072; Meneses; ; Frei Miguelinho, PE; (37)973194671; (65)959826
Joaquina Calisto Alda; Avenida Vera Pedroso Mieiro; 28644; Joaquina; ; Curimatá, PI; (52)959547629; (65)959826
Joaquina Calisto Correia; Avenida Horáco  León Benedita; 6973; Bartira; ; Água Fria, BA; (37)932385994; (78)927207
Joaquina Calisto Fontoura; Rua Varella Canedo; 10930; Apt 217; Becerra; Galinhos, RN; (86)919002997; (18)957557
Joaquina Campos  Mota; Rua Portugal uiirino Valentim; 32463; Mónica; ; Cristiano Otoni, MG; (68)914783050; (66)986404
Joaquina Canadas Ronaldo; Avenida Tristo  Palmiro Olivares; 15344; Tércio; ; Periquito, MG; (93)965042935; (19)961180
Joaquina Carlos Sequeira Correia; Avenida Célia Pino Daniela; 4820; Adélio; ; Santa Brígida, BA; (40)983844586; (97)907864
Joaquina Carlos Sequeira Viriato; Avenida Melinda Malheiro; 28104; Apt 702; Cavadas; Andradas, MG; (51)932100237; (65)959826
Joaquina Cavadas Meneses; Avenida Gina Máxima Foquiço; 28173; Lameira; ; Goiabeira, MG; (25)963158450; (69)934873
Joaquina Cleusa Alda; Rua Pessanha Godinho; 16444; Carlos Sequeira; ; Pindaré-Mirim, MA; (17)991023111; (65)959826
Joaquina Cleusa Rosmaninho; Avenida Paredes Collares; 23867; Dirceu; ; Vidal Ramos, SC; (25)989135737; (89)963956
Joaquina Correia Máxima Foquiço; Rua Corrêa Elba; 24226; Almerinda; ; Heliópolis, BA; (44)982690486; (66)986404
Joaquina Corrêa Vanda; Rua Mônica Diiss Vera Pedroso; 32272; Gina; ; Trindade, GO; (39)951067243; (27)986286
Joaquina Cortez Almerinda; Avenida Campos Glauco; 32695; Amanda; ; Botelhos, MG; (50)937621613; (65)959826
Joaquina Cortez Telma; Rua Miera Alda; 13069; Rosmaninho; ; Rubim, MG; (46)932913895; (39)943690
Joaquina Dirceu Bezerra; Avenida Ronalo   Vera Pedroso; 18143; Apt 712; Amanda; Tomar do Geru, SE; (38)958384946; (18)957557
Joaquina Elba Quirino Valentim; Avenida Calisto Holanda; 12706; Ubiratã Vila-Chã; ; Barras, PI; (26)946353141; (19)961180
Joaquina Elba Ágata; Avenida Acacio Ágata; 11939; Campos; ; Moeda, MG; (33)992839866; (78)927207
Joaquina Emílio Malheiros Mônica Dinis; Avenida Cortez Gina; 12421; Telma; ; Palmeira, SC; (34)923607862; (19)961180
Joaquina Florêncio Rodríguez; Rua Fitas Amanda; 3985; Apt 322; Abreu; Riacho do Jacuíípe, BA; (91)916358112; (97)907864
